date,locator,latitude,longitude,healthy,sick_guess_no_corona,sick_guess_corona,sick_corona_confirmed,recovered_confirmed,recovered_not_confirmed
2020-03-26,1012,46.5263,6.6569,42,4,2,0,0,1
2020-03-26,1097,46.4933,6.7357,4,0,1,0,0,0
2020-03-26,1009,46.5092,6.662,45,0,7,1,0,3
2020-03-26,1030,46.5532,6.5511,24,0,2,0,0,3
2020-03-26,6612,46.1549,8.7679,2,0,0,0,0,0
2020-03-26,1024,46.5261,6.562,18,1,2,0,0,2
2020-03-26,1066,46.546,6.6737,23,0,4,0,0,0
2020-03-26,1005,46.5199,6.6425,68,4,5,0,0,0
2020-03-26,1092,46.5201,6.6804,14,0,3,1,0,1
2020-03-26,1018,46.5387,6.6286,50,2,3,0,0,1
2020-03-26,1630,46.6203,7.0585,21,0,1,0,0,0
2020-03-26,1615,46.5218,6.8501,2,0,0,0,0,0
2020-03-26,1110,46.5107,6.5,22,1,1,0,0,1
2020-03-26,1136,46.5291,6.4426,3,0,0,0,0,0
2020-03-26,1201,46.2099,6.1442,24,1,3,0,0,0
2020-03-26,1213,46.1856,6.1091,27,2,2,0,0,0
2020-03-26,1907,46.1453,7.1808,6,0,0,0,0,0
2020-03-26,1004,46.5285,6.6187,108,2,11,2,0,6
2020-03-26,1006,46.5108,6.6371,56,1,7,1,0,4
2020-03-26,1010,46.5361,6.6589,40,2,3,1,0,1
2020-03-26,1197,46.3945,6.2499,3,1,0,0,0,0
2020-03-26,2068,47.0136,6.9717,5,0,0,0,0,0
2020-03-26,1164,46.4702,6.4212,1,0,0,0,0,0
2020-03-26,1205,46.1952,6.1436,56,1,2,0,0,1
2020-03-26,1814,46.4536,6.857,18,0,0,0,0,1
2020-03-26,1204,46.2017,6.1447,5,0,1,0,0,1
2020-03-26,1470,46.8285,6.8386,6,0,1,0,0,0
2020-03-26,1806,46.4714,6.884,5,0,2,0,0,0
2020-03-26,1234,46.1723,6.1547,7,0,0,0,0,0
2020-03-26,1053,46.591,6.6418,20,0,2,1,0,3
2020-03-26,2012,46.9778,6.8772,3,0,0,0,0,0
2020-03-26,1091,46.4955,6.7185,15,0,0,1,0,1
2020-03-26,1700,46.8062,7.1628,43,2,3,0,0,0
2020-03-26,1162,46.4813,6.4582,9,0,0,0,0,0
2020-03-26,2300,47.1103,6.8545,18,1,0,0,0,1
2020-03-26,1565,46.8826,6.9619,3,0,0,0,0,0
2020-03-26,1976,46.2439,7.2906,1,0,2,0,0,0
2020-03-26,1081,46.5842,6.7482,2,0,0,0,0,0
2020-03-26,1042,46.6201,6.5991,11,2,0,0,0,0
2020-03-26,2000,46.992,6.9264,16,0,1,0,0,0
2020-03-26,1055,46.6018,6.6807,7,0,3,0,0,1
2020-03-26,1950,46.2334,7.362,12,1,1,0,0,0
2020-03-26,1094,46.506,6.6723,9,0,1,0,0,0
2020-03-26,3422,47.0837,7.579,1,0,0,0,0,0
2020-03-26,1618,46.5288,6.9011,8,0,0,0,0,2
2020-03-26,2035,46.9856,6.8769,1,0,0,0,0,0
2020-03-26,1417,46.7289,6.6406,4,0,0,0,0,0
2020-03-26,1037,46.6001,6.6119,5,0,0,0,0,0
2020-03-26,1052,46.5568,6.6361,29,1,6,1,0,1
2020-03-26,1663,46.578,7.0696,4,0,0,0,0,0
2020-03-26,1090,46.5167,6.7027,9,0,1,0,0,1
2020-03-26,1054,46.5912,6.6266,8,0,1,0,0,0
2020-03-26,1023,46.5562,6.5788,14,0,0,0,0,0
2020-03-26,2013,46.9663,6.862,5,0,0,0,0,0
2020-03-26,1000,46.5535,6.687,6,0,1,0,0,0
2020-03-26,1003,46.52,6.63,34,1,2,1,0,1
2020-03-26,1874,46.1783,6.8703,3,0,0,0,0,0
2020-03-26,1568,46.9179,6.9555,1,0,0,0,0,2
2020-03-26,1206,46.1872,6.1588,20,1,2,1,0,0
2020-03-26,1096,46.4912,6.72,6,0,0,0,0,0
2020-03-26,1020,46.5368,6.5907,34,1,6,0,0,3
2020-03-26,1095,46.5027,6.6864,29,0,4,0,0,0
2020-03-26,1800,46.4591,6.8482,28,2,0,0,0,1
2020-03-26,1122,46.5556,6.5116,1,0,0,0,0,0
2020-03-26,1652,46.6252,7.1108,3,0,0,0,0,0
2020-03-26,1260,46.3808,6.238,34,1,2,0,0,0
2020-03-26,1043,46.6555,6.6709,3,0,0,0,0,0
2020-03-26,1224,46.1977,6.1886,8,0,3,0,0,1
2020-03-26,1613,46.5497,6.871,4,0,0,0,0,0
2020-03-26,1202,46.2214,6.1367,27,5,1,0,0,3
2020-03-26,2017,46.9514,6.8371,6,0,0,0,0,0
