date,postal_code,latitude,longitude,healthy,sick_guess_no_corona,sick_guess_corona,sick_corona_confirmed,recovered_confirmed,recovered_not_confirmed
2020-12-23,1012,46.5263,6.6569,77,5,4,0,0,6
2020-12-23,1097,46.4933,6.7357,6,0,3,0,0,0
2020-12-23,1009,46.5092,6.662,91,1,9,1,0,10
2020-12-23,1030,46.5532,6.5511,44,0,2,1,0,4
2020-12-23,6612,46.1549,8.7679,2,0,0,0,0,0
2020-12-23,1024,46.5261,6.562,55,1,2,0,0,6
2020-12-23,1066,46.546,6.6737,42,0,4,0,1,4
2020-12-23,1005,46.5199,6.6425,112,5,7,0,1,3
2020-12-23,1092,46.5201,6.6804,28,0,3,2,0,3
2020-12-23,1018,46.5387,6.6286,86,3,5,0,1,5
2020-12-23,1630,46.6203,7.0585,37,0,1,0,0,0
2020-12-23,1615,46.5218,6.8501,2,0,0,0,0,1
2020-12-23,1110,46.5107,6.5,54,1,3,0,1,7
2020-12-23,1136,46.5291,6.4426,4,0,0,0,0,0
2020-12-23,1201,46.2099,6.1442,49,2,5,0,0,5
2020-12-23,1213,46.1856,6.1091,58,2,4,0,0,4
2020-12-23,1907,46.1453,7.1808,9,0,0,0,0,1
2020-12-23,1004,46.5285,6.6187,199,3,18,2,1,25
2020-12-23,1006,46.5108,6.6371,104,1,11,1,1,14
2020-12-23,1010,46.5361,6.6589,71,4,7,1,0,5
2020-12-23,1197,46.3945,6.2499,9,1,1,1,1,1
2020-12-23,2068,47.0136,6.9717,7,0,0,0,0,0
2020-12-23,1164,46.4702,6.4212,2,0,0,0,0,0
2020-12-23,1205,46.1952,6.1436,76,3,2,0,0,6
2020-12-23,1814,46.4536,6.857,38,1,1,1,0,5
2020-12-23,1204,46.2017,6.1447,12,0,1,0,0,2
2020-12-23,1470,46.8285,6.8386,16,0,1,0,0,1
2020-12-23,1806,46.4714,6.884,13,0,3,0,0,3
2020-12-23,1234,46.1723,6.1547,11,0,0,0,0,1
